mode,query,latency_ms,answer_len,n_citations,execution_log,raw_answer
baseline,"Report the Gross Margin (or Net Interest Margin, if a bank) over the last 5 quarters, with values.",6496.71,851,5,,"**Answer**  
The context provides Net Interest Margin (NIM) figures only at the half‑year and annual levels for DBS.  Quarter‑specific NIM values for the most recent five quarters are not available in the excerpts supplied.

| Period | Metric | Value | Source |
|--------|--------|-------|--------|
| 1H 2023 | NIM | 2.14 % | 2Q24_performance_summary (row 6) |
| 2H 2023 | NIM | 2.16 % | 4Q24_performance_summary (row 6) |
| 1H 2024 | NIM | 2.14 % | 4Q24_performance_summary (row 6) |
| 2H 2024 | NIM | 2.13 % | 4Q24_performance_summary (row 6) |
| 1H 2025 | NIM | 2.08 % | 2Q25_performance_summary (row 6) |

**Missing data**

- Quarter‑level NIM for Q1 2024, Q2 2024, Q3 2024, Q4 2024, and Q4 2023 are not provided in the context.  
- No quarter‑level NIM values are available for the last five quarters; only half‑year and annual figures are cited."
baseline,"Show Operating Expenses for the last 3 fiscal years, year-on-year comparison.",8290.1,670,5,,"**Answer**  
Operating expenses for the last three fiscal years are:

| Fiscal Year | Operating Expenses (USD bn) | YoY % Change |
|-------------|-----------------------------|--------------|
| 2024 | 8,895.0 | 10.0 % (from context) |
| 2023 | 8,056.0 | 13.6 % (calculated) |
| 2022 | 7,090.0 | – |

**YoY % Calculation (2023 vs 2022)**  
Ratio = 8,056.0 bn ÷ 7,090.0 bn = 1.1363 = **13.6 %**

**Sources**  
- 4Q24 performance summary, table #1 row 9: 2024 = 8,895.0 bn, 2023 = 8,056.0 bn【excerpt 1】  
- dbs‑annual‑report‑2022, table #195 row 11: 2022 = 7,090.0 bn【excerpt 8】

**Missing data**  
- No additional fiscal years beyond 2022 are required for this comparison."
baseline,"Calculate the Operating Efficiency Ratio (Opex ÷ Operating Income) for the last 3 fiscal years, showing the working.",5901.11,1051,5,,"**Answer**  
The only explicit operating‑efficiency ratio (Opex ÷ Operating Income) provided in the excerpts is for FY 2022, where the cost‑income ratio was 40 % (underlying 44 %). No comparable figures are quoted for FY 2023 or FY 2024, so those ratios cannot be calculated from the supplied context.

| Fiscal Year | Operating‑Efficiency Ratio (Opex ÷ Operating Income) |
|-------------|-----------------------------------------------------|
| 2022        | 40 % (cost‑income ratio) – *underlying 44 %* |

**Missing data**  
- FY 2023: No cost‑income ratio or Opex/Operating Income figures are provided.  
- FY 2024: No cost‑income ratio or Opex/Operating Income figures are provided.  

*Citation:* The 40 % figure comes from the excerpt stating “the cost‑income ratio of the overall business improved by 11 percentage points from the previous year to 40% on the back of higher rates and volumes” (context excerpt 1). The underlying 44 % figure is also quoted in the same excerpt. No other fiscal‑year ratios are mentioned in the supplied excerpts."
results_agent,"Report the Net Interest Margin (NIM) over the last 5 quarters, with values, and add 1–2 lines of explanation.",7747.76,242,0,"[{'step': 'PlanRepair', 'repaired_plan': [{'step': 'Extract NIM for 2Q25', 'tool': 'table_extraction', 'parameters': {'query': 'Net interest margin (%) for 2Q25'}, 'store_as': 'nim_2025_2'}, {'step': 'Extract NIM for 1Q25', 'tool': 'table_extraction', 'parameters': {'query': 'Net interest margin (%) for 1Q25'}, 'store_as': 'nim_2025_1'}, {'step': 'Extract NIM for 4Q24', 'tool': 'table_extraction', 'parameters': {'query': 'Net interest margin (%) for 4Q24'}, 'store_as': 'nim_2024_4'}, {'step': 'Extract NIM for 3Q24', 'tool': 'table_extraction', 'parameters': {'query': 'Net interest margin (%) for 3Q24'}, 'store_as': 'nim_2024_3'}, {'step': 'Extract NIM for 2Q24', 'tool': 'table_extraction', 'parameters': {'query': 'Net interest margin (%) for 2Q24'}, 'store_as': 'nim_2024_2'}]}, {'step': 'Execution 1', 'tool_call': ""table_extraction({'query': 'Net interest margin (%) for 2Q25'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 2', 'tool_call': ""table_extraction({'query': 'Net interest margin (%) for 1Q25'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 3', 'tool_call': ""table_extraction({'query': 'Net interest margin (%) for 4Q24'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 4', 'tool_call': ""table_extraction({'query': 'Net interest margin (%) for 3Q24'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 5', 'tool_call': ""table_extraction({'query': 'Net interest margin (%) for 2Q24'})"", 'error': ""name 's' is not defined""}]","I am unable to report the Net Interest Margin (NIM) for the last 5 quarters as all attempts to extract the data resulted in an error (""name 's' is not defined""). Therefore, I cannot provide the requested values or an explanation at this time."
results_agent,"Show Operating Expenses (Opex) for the last 3 fiscal years, year-on-year comparison, and summarize the top 3 Opex drivers from the MD&A.",15669.16,479,0,"[{'step': 'PlanRepair', 'repaired_plan': [{'step': 'Extract Opex for FY2024', 'tool': 'table_extraction', 'parameters': {'query': 'Operating expenses for fiscal year 2024'}, 'store_as': 'opex_fy2024'}, {'step': 'Extract Opex for FY2023', 'tool': 'table_extraction', 'parameters': {'query': 'Operating expenses for fiscal year 2023'}, 'store_as': 'opex_fy2023'}, {'step': 'Extract Opex for FY2022', 'tool': 'table_extraction', 'parameters': {'query': 'Operating expenses for fiscal year 2022'}, 'store_as': 'opex_fy2022'}, {'step': 'Compute YoY % change FY2024 vs FY2023', 'tool': 'calculator', 'parameters': {'expression': '((${opex_fy2024} - ${opex_fy2023}) / ${opex_fy2023}) * 100'}, 'store_as': 'opex_yoy_2024_2023'}]}, {'step': 'Planning', 'plan': [{'step': 1, 'tool': 'table_extraction', 'query': 'Operating Expenses for the latest fiscal year', 'output': 'opex_fy_n'}, {'step': 2, 'tool': 'table_extraction', 'query': 'Operating Expenses for the second latest fiscal year', 'output': 'opex_fy_n_minus_1'}, {'step': 3, 'tool': 'table_extraction', 'query': 'Operating Expenses for the third latest fiscal year', 'output': 'opex_fy_n_minus_2'}, {'step': 4, 'tool': 'calculator', 'expression': '((opex_fy_n - opex_fy_n_minus_1) / opex_fy_n_minus_1) * 100', 'output': 'yoy_change_n_vs_n_minus_1'}, {'step': 5, 'tool': 'calculator', 'expression': '((opex_fy_n_minus_1 - opex_fy_n_minus_2) / opex_fy_n_minus_2) * 100', 'output': 'yoy_change_n_minus_1_vs_n_minus_2'}, {'step': 6, 'tool': 'table_extraction', 'query': 'top 3 Operating Expenses drivers from the MD&A', 'output': 'top_opex_drivers'}]}, {'step': 'Execution 1', 'tool_call': ""table_extraction({'query': 'Operating expenses for fiscal year 2024'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 2', 'tool_call': ""table_extraction({'query': 'Operating expenses for fiscal year 2023'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 3', 'tool_call': ""table_extraction({'query': 'Operating expenses for fiscal year 2022'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 4', 'tool_call': ""calculator({'expression': '((${opex_fy2024} - ${opex_fy2023}) / ${opex_fy2023}) * 100'})"", 'result': 'Error: unresolved variables in expression.'}]","I'm sorry, Agent CFO encountered errors during the execution of the tools and was unable to retrieve the requested information.

Specifically:
*   Operating expenses for fiscal years 2024, 2023, and 2022 could not be extracted due to an error: ""name 's' is not defined.""
*   As a result, the year-on-year comparison for operating expenses could not be computed due to ""unresolved variables in expression.""
*   The top 3 operating expense drivers from the MD&A were not retrieved."
results_agent,Calculate the Cost-to-Income Ratio (CTI) for the last 3 fiscal years; show your working and give 1–2 lines of implications.,18840.77,364,0,"[{'step': 'PlanRepair', 'repaired_plan': [{'step': 'Extract relevant figure', 'tool': 'table_extraction', 'parameters': {'query': 'Calculate the Cost-to-Income Ratio (CTI) for the last 3 fiscal years; show your working and give 1–2 lines of implications.'}, 'store_as': 'value_1'}]}, {'step': 'Planning', 'plan': [{'step': 1, 'tool': 'table_extraction', 'query': 'Operating expenses for the last fiscal year'}, {'step': 2, 'tool': 'table_extraction', 'query': 'Operating expenses for the second to last fiscal year'}, {'step': 3, 'tool': 'table_extraction', 'query': 'Operating expenses for the third to last fiscal year'}, {'step': 4, 'tool': 'table_extraction', 'query': 'Operating income for the last fiscal year'}, {'step': 5, 'tool': 'table_extraction', 'query': 'Operating income for the second to last fiscal year'}, {'step': 6, 'tool': 'table_extraction', 'query': 'Operating income for the third to last fiscal year'}, {'step': 7, 'tool': 'calculator', 'expression': '({step_1_result} / {step_4_result}) * 100', 'reasoning': 'Calculate CTI for the last fiscal year using extracted operating expenses and operating income.'}, {'step': 8, 'tool': 'calculator', 'expression': '({step_2_result} / {step_5_result}) * 100', 'reasoning': 'Calculate CTI for the second to last fiscal year using extracted operating expenses and operating income.'}, {'step': 9, 'tool': 'calculator', 'expression': '({step_3_result} / {step_6_result}) * 100', 'reasoning': 'Calculate CTI for the third to last fiscal year using extracted operating expenses and operating income.'}, {'step': 10, 'tool': 'final_answer', 'reasoning': 'Present the calculated CTI for each of the last three fiscal years, show the working for each, and provide 1-2 lines of implications based on the trends or absolute values of the CTIs.', 'answer': 'The Cost-to-Income Ratio (CTI) for the last fiscal year is {step_7_result}% (calculated as {step_1_result} / {step_4_result} * 100). For the second to last fiscal year, it is {step_8_result}% (calculated as {step_2_result} / {step_5_result} * 100). For the third to last fiscal year, it is {step_9_result}% (calculated as {step_3_result} / {step_6_result} * 100). \n\nImplications: [Analyze the trend of the CTI over the three years. For example, if CTI is decreasing, imply improving operational efficiency. If increasing, imply rising costs relative to income, which might pressure profitability.]'}]}, {'step': 'Execution 1', 'tool_call': ""table_extraction({'query': 'Calculate the Cost-to-Income Ratio (CTI) for the last 3 fiscal years; show your working and give 1–2 lines of implications.'})"", 'error': ""name 's' is not defined""}]","The tool execution encountered an error during the data extraction phase (""name 's' is not defined""). As a result, the necessary operating expenses and operating income figures could not be retrieved, and therefore, the Cost-to-Income Ratios for the last three fiscal years cannot be calculated or presented. No implications can be drawn without the required data."
results_agent,"Show Operating Expenses for the last 3 fiscal years, year-on-year comparison.",13311.81,169,0,"[{'step': 'Planning', 'plan': [{'id': 'get_op_exp_fy0', 'tool_name': 'table_extraction', 'parameters': {'query': 'Operating Expenses for the most recent fiscal year'}, 'description': 'Retrieve Operating Expenses for the most recent fiscal year.'}, {'id': 'get_op_exp_fy1', 'tool_name': 'table_extraction', 'parameters': {'query': 'Operating Expenses for the prior fiscal year'}, 'description': 'Retrieve Operating Expenses for the prior fiscal year (FY-1).'}, {'id': 'get_op_exp_fy2', 'tool_name': 'table_extraction', 'parameters': {'query': 'Operating Expenses for two fiscal years ago'}, 'description': 'Retrieve Operating Expenses for two fiscal years ago (FY-2).'}, {'id': 'calculate_yoy_fy0_vs_fy1', 'tool_name': 'calculator', 'parameters': {'expression': '((get_op_exp_fy0 - get_op_exp_fy1) / get_op_exp_fy1) * 100'}, 'description': 'Calculate the year-on-year percentage change in Operating Expenses between the most recent fiscal year and the prior fiscal year.'}, {'id': 'calculate_yoy_fy1_vs_fy2', 'tool_name': 'calculator', 'parameters': {'expression': '((get_op_exp_fy1 - get_op_exp_fy2) / get_op_exp_fy2) * 100'}, 'description': 'Calculate the year-on-year percentage change in Operating Expenses between the prior fiscal year and two fiscal years ago.'}]}, {'step': 'Execution 1', 'tool_call': ""None({'query': 'Operating Expenses for the most recent fiscal year'})"", 'error': ""Tool 'None' not found.""}, {'step': 'Execution 2', 'tool_call': ""None({'query': 'Operating Expenses for the prior fiscal year'})"", 'error': ""Tool 'None' not found.""}, {'step': 'Execution 3', 'tool_call': ""None({'query': 'Operating Expenses for two fiscal years ago'})"", 'error': ""Tool 'None' not found.""}, {'step': 'Execution 4', 'tool_call': ""None({'expression': '((get_op_exp_fy0 - get_op_exp_fy1) / get_op_exp_fy1) * 100'})"", 'error': ""Tool 'None' not found.""}, {'step': 'Execution 5', 'tool_call': ""None({'expression': '((get_op_exp_fy1 - get_op_exp_fy2) / get_op_exp_fy2) * 100'})"", 'error': ""Tool 'None' not found.""}]","I'm sorry, but I was unable to retrieve the Operating Expenses or perform the year-on-year comparison. All tool executions encountered an error: ""Tool 'None' not found."""
results_agent,"Calculate the Operating Efficiency Ratio (Opex ÷ Operating Income) for the last 3 fiscal years, showing the working.",16073.39,385,0,"[{'step': 'PlanRepair', 'repaired_plan': [{'step': 'Extract Opex for FY2024', 'tool': 'table_extraction', 'parameters': {'query': 'Operating expenses for fiscal year 2024'}, 'store_as': 'opex_fy2024'}, {'step': 'Extract Operating Income for FY2024', 'tool': 'table_extraction', 'parameters': {'query': 'Total income for fiscal year 2024'}, 'store_as': 'income_fy2024'}, {'step': 'Compute OER for FY2024', 'tool': 'calculator', 'parameters': {'expression': '(${opex_fy2024} / ${income_fy2024}) * 100'}, 'store_as': 'oer_fy2024'}, {'step': 'Extract Opex for FY2023', 'tool': 'table_extraction', 'parameters': {'query': 'Operating expenses for fiscal year 2023'}, 'store_as': 'opex_fy2023'}, {'step': 'Extract Operating Income for FY2023', 'tool': 'table_extraction', 'parameters': {'query': 'Total income for fiscal year 2023'}, 'store_as': 'income_fy2023'}, {'step': 'Compute OER for FY2023', 'tool': 'calculator', 'parameters': {'expression': '(${opex_fy2023} / ${income_fy2023}) * 100'}, 'store_as': 'oer_fy2023'}, {'step': 'Extract Opex for FY2022', 'tool': 'table_extraction', 'parameters': {'query': 'Operating expenses for fiscal year 2022'}, 'store_as': 'opex_fy2022'}, {'step': 'Extract Operating Income for FY2022', 'tool': 'table_extraction', 'parameters': {'query': 'Total income for fiscal year 2022'}, 'store_as': 'income_fy2022'}, {'step': 'Compute OER for FY2022', 'tool': 'calculator', 'parameters': {'expression': '(${opex_fy2022} / ${income_fy2022}) * 100'}, 'store_as': 'oer_fy2022'}]}, {'step': 'Planning', 'plan': [{'thought': 'Retrieve Operating Expenses (Opex) for the latest fiscal year.'}, {'tool_code': 'opex_year1 = table_extraction(query=""Opex for the latest fiscal year"")'}, {'thought': 'Retrieve Operating Income for the latest fiscal year.'}, {'tool_code': 'operating_income_year1 = table_extraction(query=""Operating Income for the latest fiscal year"")'}, {'thought': 'Calculate the Operating Efficiency Ratio for the latest fiscal year.'}, {'tool_code': 'oer_year1 = calculator(expression=f""{opex_year1} / {operating_income_year1}"")'}, {'print_result': 'print(f""Latest Fiscal Year Operating Efficiency Ratio (Opex ÷ Operating Income): ({opex_year1} ÷ {operating_income_year1}) = {oer_year1}"")'}, {'thought': 'Retrieve Operating Expenses (Opex) for the second latest fiscal year.'}, {'tool_code': 'opex_year2 = table_extraction(query=""Opex for the second latest fiscal year"")'}, {'thought': 'Retrieve Operating Income for the second latest fiscal year.'}, {'tool_code': 'operating_income_year2 = table_extraction(query=""Operating Income for the second latest fiscal year"")'}, {'thought': 'Calculate the Operating Efficiency Ratio for the second latest fiscal year.'}, {'tool_code': 'oer_year2 = calculator(expression=f""{opex_year2} / {operating_income_year2}"")'}, {'print_result': 'print(f""Second Latest Fiscal Year Operating Efficiency Ratio (Opex ÷ Operating Income): ({opex_year2} ÷ {operating_income_year2}) = {oer_year2}"")'}, {'thought': 'Retrieve Operating Expenses (Opex) for the third latest fiscal year.'}, {'tool_code': 'opex_year3 = table_extraction(query=""Opex for the third latest fiscal year"")'}, {'thought': 'Retrieve Operating Income for the third latest fiscal year.'}, {'tool_code': 'operating_income_year3 = table_extraction(query=""Operating Income for the third latest fiscal year"")'}, {'thought': 'Calculate the Operating Efficiency Ratio for the third latest fiscal year.'}, {'tool_code': 'oer_year3 = calculator(expression=f""{opex_year3} / {operating_income_year3}"")'}, {'print_result': 'print(f""Third Latest Fiscal Year Operating Efficiency Ratio (Opex ÷ Operating Income): ({opex_year3} ÷ {operating_income_year3}) = {oer_year3}"")'}]}, {'step': 'Execution 1', 'tool_call': ""table_extraction({'query': 'Operating expenses for fiscal year 2024'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 2', 'tool_call': ""table_extraction({'query': 'Total income for fiscal year 2024'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 3', 'tool_call': ""calculator({'expression': '(${opex_fy2024} / ${income_fy2024}) * 100'})"", 'result': 'Error: unresolved variables in expression.'}, {'step': 'Execution 4', 'tool_call': ""table_extraction({'query': 'Operating expenses for fiscal year 2023'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 5', 'tool_call': ""table_extraction({'query': 'Total income for fiscal year 2023'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 6', 'tool_call': ""calculator({'expression': '(${opex_fy2023} / ${income_fy2023}) * 100'})"", 'result': 'Error: unresolved variables in expression.'}, {'step': 'Execution 7', 'tool_call': ""table_extraction({'query': 'Operating expenses for fiscal year 2022'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 8', 'tool_call': ""table_extraction({'query': 'Total income for fiscal year 2022'})"", 'error': ""name 's' is not defined""}, {'step': 'Execution 9', 'tool_call': ""calculator({'expression': '(${opex_fy2022} / ${income_fy2022}) * 100'})"", 'result': 'Error: unresolved variables in expression.'}]","I apologize, but I am unable to calculate the Operating Efficiency Ratio for the last 3 fiscal years. The `table_extraction` tool encountered an error (""name 's' is not defined"") and failed to retrieve the necessary operating expenses and operating income data for FY2024, FY2023, and FY2022. As a result, the subsequent calculations could not be performed due to unresolved variables."
results_baseline(old),"Report the Gross Margin (or Net Interest Margin, if a bank) over the last 5 quarters, with values.",3553.97,352,0,{'built_from': 'tool_nim_series'},"NIM (%) — last 5 quarters (Group):
Quarter | NIM (%)
--------|--------
2Q25 | 2.05
1Q25 | 2.12
4Q24 | 2.15
3Q24 | 2.11
2Q24 | 2.14

Citations:
- Source: 4Q24_CFO_presentation.pdf, 4Q24, p.4, heuristic_summary_p4
- Source: 2Q24_performance_summary.pdf, 2Q24, p.8, heuristic_summary_p8
- Source: 3Q24_CFO_presentation.pdf, 3Q24, p.5, heuristic_summary_p5"
agentic,"Report the Gross Margin (or Net Interest Margin, if a bank) over the last 5 quarters, with values.",9521.58,574,5,"{'plan': 'Analyze → Extract net interest margin → Synthesize', 'actions': ['text_extraction'], 'observations': ['Retrieved 12 contexts', 'Metric: net interest margin', 'YoY: False, Quarterly: True, Compare: False', 'Tools used: text_extraction']}","**Net Interest Margin (NIM) – Last 5 Quarters**

| Quarter | NIM | Source |
|---------|-----|--------|
| Q2 2024 | 2.80 % | *2Q24 Performance Summary* (first‑half NIM increase) |
| Q1 2024 | – | Data not provided |
| Q4 2023 | – | Data not provided |
| Q3 2023 | – | Data not provided |
| Q2 2023 | – | Data not provided |

**What’s missing**

The only quarterly figure supplied in the context is the 2.80 % NIM for Q2 2024. No NIM values are given for Q1 2024, Q4 2023, Q3 2023, or Q2 2023, so the last five‑quarter series cannot be completed with the provided information."
agentic,"Show Operating Expenses for the last 3 fiscal years, year-on-year comparison.",6521.17,796,5,"{'plan': 'Analyze → Extract operating expenses → Synthesize', 'actions': ['text_extraction'], 'observations': ['Retrieved 12 contexts', 'Metric: operating expenses', 'YoY: False, Quarterly: False, Compare: False', 'Tools used: text_extraction']}","**Operating Expenses – Last 3 Fiscal Years (Year‑on‑Year)**  

| Fiscal Year | Operating Expenses (USD m) | YoY % Change |
|-------------|---------------------------|--------------|
| 2024 | 8,895.0 | +10.0 % (vs 2023) |
| 2023 | 8,056.0 | – (vs 2022) |
| 2022 | 2,254.0 *or 3,803.0* | +124.3 % (vs 2022 → 2023) **or** +111.9 % (vs 2022 → 2023) |

*Sources*  
- **4Q24_performance_summary** – Year 2024: 8,895.0; Year 2023: 8,056.0 (YoY +10.0 %)  
- **dbs‑annual‑report‑2022** – Two reported figures for 2022: 2,254.0 (YoY +8.0 %) and 3,803.0 (YoY +13.0 %)  

**Missing Data**  
- The report does not provide a single, consistent 2022 operating‑expense figure; two different values appear in separate tables.  
- No operating‑expense figure for 2021 is needed for the requested 3‑year comparison."
agentic,"Calculate the Operating Efficiency Ratio (Opex ÷ Operating Income) for the last 3 fiscal years, showing the working.",8525.48,778,5,"{'plan': 'Analyze → Extract operating income → Synthesize', 'actions': ['text_extraction', 'calculation'], 'observations': ['Retrieved 12 contexts', 'Metric: operating income', 'YoY: False, Quarterly: False, Compare: False', 'Tools used: text_extraction, calculation']}","**Operating Efficiency Ratio (Opex ÷ Operating Income)**  

| Fiscal Year | Ratio | Source |
|-------------|-------|--------|
| 2022 | **40 %** | *dbs‑annual‑report‑2022* – “cost‑income ratio of the overall business improved by 11 percentage points from the previous year to 40 %.” |
| 2021 | **Data not provided** | – |
| 2020 | **Data not provided** | – |

**Explanation**

* The cost‑income ratio is defined as operating expenses (Opex) divided by operating income.  
* The only explicit ratio in the supplied context is the 2022 figure (40 %) from the 2022 annual report.  
* No operating‑expense or operating‑income figures, nor cost‑income ratios, are given for 2021 or 2020 in the provided excerpts. Therefore those two years cannot be calculated with the available data."
